"year","month","value"
2007,4,32.88182612993692
2007,5,31.46156234181974
2007,6,32.633448445465866
2007,7,33.569693535655574
2007,8,31.243995481553505
2007,9,32.72913418687252
2007,10,32.97825834287
2007,11,32.96299012349504
2007,12,33.7103483696386
2008,1,34.37211733084393
2008,2,33.87067632272255
2008,3,33.686723328353764
2008,4,25.35575854654321
2008,5,33.295865881771434
2008,6,33.4626159494022
2008,7,34.039793980989735
2008,8,34.56141421186499
2008,9,33.74105871550745
2008,10,33.66569764064257
2008,11,32.873641729586524
2008,12,33.45585934219487
2009,1,33.37681269043631
2009,2,33.28381781812146
2009,3,25.47656554691582
2009,4,32.240393478212525
2009,5,32.39804315242578
2009,6,33.714500025216054
2009,7,34.85948403015313
2009,8,35.35319814582159
2009,9,35.04528672231905
2009,10,34.904970448012755
